Source,FormDefectName,AuditProposedParentCode,AuditProposedLeafCode,AuditProposedLeafName,LiveDBParentCode,LiveDBLeafCode,LiveDBLeafName,LineTypeCode,ReconciliationStatus,ReconciliationNote
Plant2-Claude,Missing Paint,COV,COV-MISS,Missing Paint / Uncovered Area,COV,COV-BAR,Bare Spot / Holiday / Skip Area,LIQUID,MAPPED,Metelix Hummer + Y2XX — "missing paint" = bare spot
Plant2-ChatGPT,MISSING PAINT,COV,COV-BAR,Missing Paint,COV,COV-BAR,Bare Spot / Holiday / Skip Area,LIQUID,MAPPED,ChatGPT correctly mapped to COV-BAR
Plant2-Claude,Burn Through,COV,COV-BURN,Burn Through,COV,COV-BAR,Bare Spot / Holiday / Skip Area,LIQUID,MAPPED,Metelix buff form — buff-through-to-substrate = bare spot
Plant2-ChatGPT,BURN THROUGH,COV,COV-BAR,Burn Through,COV,COV-BAR,Bare Spot / Holiday / Skip Area,LIQUID,MAPPED,Same target
Plant2-Claude,E-Coat Showing,COV,COV-ECOAT,E-Coat Substrate Visible,COV,COV-BAR,Bare Spot / Holiday / Skip Area,LIQUID,MAPPED,Mytox form — anomalous substrate defect from supplier e-coat visible through liquid paint
Plant2-ChatGPT,E-COAT,COV,COV-BAR,E-Coat Showing,COV,COV-BAR,Bare Spot / Holiday / Skip Area,LIQUID,MAPPED,Same target — incoming substrate defect
Plant2-Claude,Strings,CON,CON-STRING,Strings / Cobwebbing,CON,CON-FOI,Foreign Object Inclusion (Embedded),LIQUID,MAPPED,Rollstamp/BMW form — strings are foreign inclusions
Plant2-ChatGPT,STRINGS,CON,CON-FOI,Strings,CON,CON-FOI,Foreign Object Inclusion (Embedded),LIQUID,MAPPED,Same target
Plant2-Claude,Snowballs,CON,CON-SNOW,Snowballs / Compound Residue,CON,CON-FOI,Foreign Object Inclusion (Embedded),LIQUID,MAPPED,Metelix + Tesla buff forms — buffing compound residue = foreign inclusion
Plant2-ChatGPT,SNOW BALL,CON,CON-FOI,Snowballs,CON,CON-FOI,Foreign Object Inclusion (Embedded),LIQUID,MAPPED,Same target
Plant2-Claude,Foam Marks,DAM,DAM-FOAM,Foam Marks / Pad Marks,DAM,DAM-RCK,Rack / Hanger / Contact Marks,LIQUID,MAPPED,Tesla buff form — foam pad contact marks. Map to DAM-RCK (contact marks)
Plant2-ChatGPT,FOAM MARKS,DAM,DAM-RCK,Foam Marks,DAM,DAM-RCK,Rack / Hanger / Contact Marks,LIQUID,MAPPED,Same target
Plant2-Claude,Gouges,DAM,DAM-GOUGE,Gouges,DAM,DAM-SCR,Scratch / Abrasion Damage,LIQUID,MAPPED,Metelix + Hummer forms — deep scratch variant
Plant2-ChatGPT,GOUGES,DAM,DAM-SCR,Gouges,DAM,DAM-SCR,Scratch / Abrasion Damage,LIQUID,MAPPED,Same target
Plant2-Claude,Dents,DAM,DAM-DENT,Dents / Impact Damage,DAM,DAM-DEF,Substrate Deformation,LIQUID,NEW-SUBSTRATE,Plant 2-specific NEW leaf. Distinct from Plant 1 DAM-CRK (which is crack/fracture). Liquid paint substrate dents need dedicated deformation leaf
Plant2-ChatGPT,DENTS,DAM,DAM-DEF,Dents,DAM,DAM-DEF,Substrate Deformation,LIQUID,NEW-SUBSTRATE,Same new leaf — DAM-DEF proposed for substrate deformation
Plant2-Claude,Sink Marks,DAM,DAM-SINK,Sink Marks,DAM,DAM-DEF,Substrate Deformation,LIQUID,NEW-SUBSTRATE,Metelix moulding-sanding form — molding defect. Map to new DAM-DEF leaf
Plant2-ChatGPT,SINK MARKS,DAM,DAM-DEF,Sink Marks,DAM,DAM-DEF,Substrate Deformation,LIQUID,NEW-SUBSTRATE,Same new leaf
Plant2-Claude,Thin Substrate,DAM,DAM-THINSUB,Thin Substrate / Wall Thickness,DAM,DAM-DEF,Substrate Deformation,LIQUID,NEW-SUBSTRATE,Metelix moulding-sanding form — thin wall = deformation category
Plant2-ChatGPT,THIN SUBSTRATE,DAM,DAM-DEF,Thin Substrate,DAM,DAM-DEF,Substrate Deformation,LIQUID,NEW-SUBSTRATE,Same new leaf
Plant2-Claude,Cracks,DAM,DAM-CRACK,Cracks / Fractures,DAM,DAM-CRK,Substrate Crack / Fracture (Material),LIQUID,EXACT,Metelix moulding-sanding form — direct match to existing DB leaf
Plant2-ChatGPT,CRACKS,DAM,DAM-CRK,Cracks,DAM,DAM-CRK,Substrate Crack / Fracture (Material),LIQUID,EXACT,Same target
Plant2-Claude,Flash,DAM,DAM-FLASH,Flash / Parting Line Flash,DAM,DAM-MLD,Molding / Extrusion Surface Marks,LIQUID,NEW-SUBSTRATE,Laval/KB/Misc/Tesla forms — molding defect. NEW leaf DAM-MLD proposed for molding/extrusion marks
Plant2-ChatGPT,FLASH,DAM,DAM-MLD,Flash / Molding Defect,DAM,DAM-MLD,Molding / Extrusion Surface Marks,LIQUID,NEW-SUBSTRATE,Same new leaf
Plant2-Claude,Parting Line,DAM,DAM-PARTLINE,Parting Line,DAM,DAM-MLD,Molding / Extrusion Surface Marks,LIQUID,NEW-SUBSTRATE,Metelix inspection + moulding-sanding — map to new DAM-MLD leaf
Plant2-ChatGPT,PARTING LINE,DAM,DAM-MLD,Parting Line,DAM,DAM-MLD,Molding / Extrusion Surface Marks,LIQUID,NEW-SUBSTRATE,Same new leaf
Plant2-Claude,Splay,DAM,DAM-SPLAY,Splay / Silver Streaks,DAM,DAM-MLD,Molding / Extrusion Surface Marks,LIQUID,NEW-SUBSTRATE,Tesla form — injection molding defect. Map to new DAM-MLD
Plant2-ChatGPT,SPLAY,DAM,DAM-MLD,Splay,DAM,DAM-MLD,Molding / Extrusion Surface Marks,LIQUID,NEW-SUBSTRATE,Same new leaf
Plant2-Claude,Gas Mark,DAM,DAM-GAS,Gas Mark,DAM,DAM-MLD,Molding / Extrusion Surface Marks,LIQUID,NEW-SUBSTRATE,Tesla form — gas trap molding defect. Map to new DAM-MLD
Plant2-ChatGPT,GAS MARK,DAM,DAM-MLD,Gas Mark,DAM,DAM-MLD,Molding / Extrusion Surface Marks,LIQUID,NEW-SUBSTRATE,Same new leaf
Plant2-Claude,Chatter Mark,DAM,DAM-CHATTER,Chatter Mark,DAM,DAM-MLD,Molding / Extrusion Surface Marks,LIQUID,NEW-SUBSTRATE,Tesla form — machining/molding defect. Map to new DAM-MLD
Plant2-ChatGPT,CHATTER MARK,DAM,DAM-MLD,Chatter Mark,DAM,DAM-MLD,Molding / Extrusion Surface Marks,LIQUID,NEW-SUBSTRATE,Same new leaf
Plant2-Claude,Extrusion Line,DAM,DAM-EXTLINE,Extrusion Line,DAM,DAM-MLD,Molding / Extrusion Surface Marks,LIQUID,NEW-SUBSTRATE,Rollstamp/BMW + Tesla — extrusion substrate mark. Map to new DAM-MLD
Plant2-ChatGPT,EXT. LINE,DAM,DAM-MLD,Extrusion Line,DAM,DAM-MLD,Molding / Extrusion Surface Marks,LIQUID,NEW-SUBSTRATE,Same new leaf
Plant2-Claude,Zipper Line,DAM,DAM-ZIPPER,Zipper Line,DAM,DAM-MLD,Molding / Extrusion Surface Marks,LIQUID,NEW-SUBSTRATE,Rollstamp/BMW form — extrusion weld line. Map to new DAM-MLD
Plant2-ChatGPT,ZIPPER LINE,DAM,DAM-MLD,Zipper Line,DAM,DAM-MLD,Molding / Extrusion Surface Marks,LIQUID,NEW-SUBSTRATE,Same new leaf
Plant2-Claude,Paint Spits,TEX,TEX-SPIT,Paint Spits / Spatter,TEX,TEX-SPT,Spatter / Paint Spits,LIQUID,NEW-PROCESS,Mytox form — liquid-specific NEW leaf. Gun spit / spatter pattern
Plant2-ChatGPT,PAINT SPITS,TEX,TEX-SPT,Paint Spits / Spatter,TEX,TEX-SPT,Spatter / Paint Spits,LIQUID,NEW-PROCESS,Same new leaf — TEX-SPT proposed
Plant2-Claude,Mottling,APP,APP-MOT,Mottling / Uneven Metallic Appearance,APP,APP-MOT,Mottling / Metallic Orientation,LIQUID,NEW-PROCESS,Mytox + Misc + hidden BRP Spyder forms — liquid-specific NEW leaf for metallic orientation defect
Plant2-ChatGPT,MOTTLING,APP,APP-MOT,Mottling,APP,APP-MOT,Mottling / Metallic Orientation,LIQUID,NEW-PROCESS,Same new leaf — APP-MOT proposed
Plant2-Claude,Haze,SPC,SPC-HAZE,Haze / Swirl Marks,SPC,SPC-SWL,Swirl Marks / Buff Lines,LIQUID,NEW-PROCESS,Metelix buff form — buffing-induced haze. NEW leaf SPC-SWL proposed
Plant2-ChatGPT,HAZE,SPC,SPC-SWL,Haze / Swirl,SPC,SPC-SWL,Swirl Marks / Buff Lines,LIQUID,NEW-PROCESS,Same new leaf
Plant2-Claude,Sanding Marks,SPC,SPC-SAND,Sanding Marks / Scratch Pattern,SPC,SPC-SWL,Swirl Marks / Buff Lines,LIQUID,NEW-PROCESS,Metelix moulding-sanding form — mechanical finishing marks. Map to new SPC-SWL
Plant2-ChatGPT,SANDING MARKS,SPC,SPC-SWL,Sanding Marks,SPC,SPC-SWL,Swirl Marks / Buff Lines,LIQUID,NEW-PROCESS,Same new leaf
Plant2-Claude,Scrap,DISP,DISP-SCRAP,Scrap (Disposition not Defect),,,N/A — DISPOSITION,,MAPPED,Appears on Rollstamp + Mytox forms. This is a disposition decision not a defect type. Map to DispositionCode=SCRAP
Plant2-Claude,Fan Pattern Break,APP,APP-FAN,Fan Pattern Break,,,NOT IN DB,,NEW-PROCESS,Line 102 Operating Form SWI — spray application defect. Liquid-specific. Consider adding under APP
Plant2-Claude,Colour Out of Tolerance,APP,APP-COLOUR,Colour Out of Tolerance (delta-Ecmc > 2),APP,APP-COL,Color Mismatch / Wrong Shade,LIQUID,MAPPED,New Paint Batch Verification form — delta-Ecmc > 2 or delta-L/a/b > 1.15 for metallics. Map to existing APP-COL
Plant2-Claude,Viscosity Out of Tolerance,MIX,MIX-VISC,Viscosity Out of Tolerance,,,NOT IN DB,,NEW-PROCESS,Paint Tally Sheet — inferred defect. Consider adding under new MIX category or map to process parameter OOS
Plant2-Claude,Catalyst Check Failure,MIX,MIX-CAT,Catalyst Check Failure,,,NOT IN DB,,NEW-PROCESS,Line 102 Production Tracking — catalyst check column. Critical process failure
Plant2-Claude,Rack Visual Check Failure,HAND,HAND-RACK,Rack Condition Failure,DAM,DAM-RCK,Rack / Hanger / Contact Marks,LIQUID,MAPPED,Line 102 Production Tracking + Operating Form — rack visual = potential contact damage
Plant2-Claude,Booth Environmental Feedback,ENV,ENV-BOOTH,Booth Environmental Feedback,,,NOT IN DB,,NEW-PROCESS,Downtime Tracking Template — environmental condition causing line stop. May not be a defect type but a downtime reason
Plant2-Claude,Part Damage at Blow-Off,HAND,HAND-BLOWOFF,Part Damage at Blow-Off,DAM,DAM-SCR,Scratch / Abrasion Damage,LIQUID,MAPPED,Downtime Tracking Template — damage during blow-off stage. Map to DAM-SCR
